SYMBOL,INTERVAL NO. 1,INTERVAL NO. 2,INTERVAL NO. 3,INTERVAL NO. 4,INTERVAL NO. 5,INTERVAL NO. 6,INTERVAL NO. 7,INTERVAL NO. 8,INTERVAL NO. 9,INTERVAL NO. 10,MAX FREQ.
TATACOFFEE,"(112.0, 114.6, 201)","(114.6, 117.2, 262)","(117.2, 119.8, 307)","(119.8, 122.4, 440)","(122.4, 125.0, 675)","(125.0, 127.6, 640)","(127.6, 130.2, 175)","(130.2, 132.8, 639)","(132.8, 135.4, 333)","(135.4, 138.0, 36)","(122.4, 125.0, 675)"
TATACOMM,"(608.0, 614.3, 296)","(614.3, 620.6, 650)","(620.6, 626.9, 847)","(626.9, 633.2, 595)","(633.2, 639.5, 557)","(639.5, 645.8, 171)","(645.8, 652.1, 118)","(652.1, 658.4, 334)","(658.4, 664.7, 110)","(664.7, 671.0, 28)","(620.6, 626.9, 847)"
TCS,"(2789.0, 2865.9, 594)","(2865.9, 2942.8, 665)","(2942.8, 3019.7, 264)","(3019.7, 3096.6, 306)","(3096.6, 3173.5, 309)","(3173.5, 3250.4, 197)","(3250.4, 3327.3, 8)","(3327.3, 3404.2, 138)","(3404.2, 3481.1, 579)","(3481.1, 3558.0, 657)","(2865.9, 2942.8, 665)"
TATAELXSI,"(958.0, 988.1, 325)","(988.1, 1018.2, 878)","(1018.2, 1048.3, 611)","(1048.3, 1078.4, 375)","(1078.4, 1108.5, 136)","(1108.5, 1138.6, 123)","(1138.6, 1168.7, 233)","(1168.7, 1198.8, 444)","(1198.8, 1228.9, 382)","(1228.9, 1259.0, 205)","(988.1, 1018.2, 878)"
TATAGLOBAL,"(239.0, 245.1, 99)","(245.1, 251.2, 62)","(251.2, 257.3, 111)","(257.3, 263.4, 426)","(263.4, 269.5, 223)","(269.5, 275.6, 853)","(275.6, 281.7, 596)","(281.7, 287.8, 620)","(287.8, 293.9, 572)","(293.9, 300.0, 150)","(269.5, 275.6, 853)"
TATAINVEST,"(715.0, 731.3, 131)","(731.3, 747.6, 379)","(747.6, 763.9, 511)","(763.9, 780.2, 452)","(780.2, 796.5, 234)","(796.5, 812.8, 243)","(812.8, 829.1, 495)","(829.1, 845.4, 152)","(845.4, 861.7, 746)","(861.7, 878.0, 150)","(845.4, 861.7, 746)"
TATAMTRDVR,"(180.0, 182.9, 58)","(182.9, 185.8, 298)","(185.8, 188.7, 753)","(188.7, 191.6, 649)","(191.6, 194.5, 628)","(194.5, 197.4, 457)","(197.4, 200.3, 358)","(200.3, 203.2, 256)","(203.2, 206.1, 141)","(206.1, 209.0, 112)","(185.8, 188.7, 753)"
TATAMOTORS,"(307.0, 313.6, 93)","(313.6, 320.2, 81)","(320.2, 326.8, 92)","(326.8, 333.4, 688)","(333.4, 340.0, 1065)","(340.0, 346.6, 621)","(346.6, 353.2, 353)","(353.2, 359.8, 445)","(359.8, 366.4, 205)","(366.4, 373.0, 85)","(333.4, 340.0, 1065)"
TATAPOWER,"(77.0, 78.3, 23)","(78.3, 79.6, 188)","(79.6, 80.9, 892)","(80.9, 82.2, 585)","(82.2, 83.5, 179)","(83.5, 84.8, 393)","(84.8, 86.1, 603)","(86.1, 87.4, 381)","(87.4, 88.7, 425)","(88.7, 90.0, 38)","(79.6, 80.9, 892)"
TATASPONGE,"(907.0, 941.2, 290)","(941.2, 975.4, 387)","(975.4, 1009.6, 645)","(1009.6, 1043.8, 507)","(1043.8, 1078.0, 301)","(1078.0, 1112.2, 613)","(1112.2, 1146.4, 808)","(1146.4, 1180.6, 119)","(1180.6, 1214.8, 10)","(1214.8, 1249.0, 21)","(1112.2, 1146.4, 808)"
TATASTEEL,"(555.0, 566.9, 95)","(566.9, 578.8, 398)","(578.8, 590.7, 781)","(590.7, 602.6, 1040)","(602.6, 614.5, 643)","(614.5, 626.4, 363)","(626.4, 638.3, 187)","(638.3, 650.2, 88)","(650.2, 662.1, 62)","(662.1, 674.0, 67)","(590.7, 602.6, 1040)"
TECHM,"(604.0, 616.6, 335)","(616.6, 629.2, 1091)","(629.2, 641.8, 419)","(641.8, 654.4, 223)","(654.4, 667.0, 750)","(667.0, 679.6, 489)","(679.6, 692.2, 271)","(692.2, 704.8, 75)","(704.8, 717.4, 27)","(717.4, 730.0, 42)","(616.6, 629.2, 1091)"
TECHNO,"(309.0, 317.2, 26)","(317.2, 325.4, 147)","(325.4, 333.6, 147)","(333.6, 341.8, 403)","(341.8, 350.0, 388)","(350.0, 358.2, 743)","(358.2, 366.4, 385)","(366.4, 374.6, 454)","(374.6, 382.8, 150)","(382.8, 391.0, 54)","(350.0, 358.2, 743)"
TEXRAIL,"(74.0, 76.2, 110)","(76.2, 78.4, 1)","(78.4, 80.6, 231)","(80.6, 82.8, 410)","(82.8, 85.0, 558)","(85.0, 87.2, 1263)","(87.2, 89.4, 793)","(89.4, 91.6, 200)","(91.6, 93.8, 62)","(93.8, 96.0, 28)","(85.0, 87.2, 1263)"
RAMCOCEM,"(719.0, 735.1, 530)","(735.1, 751.2, 780)","(751.2, 767.3, 177)","(767.3, 783.4, 16)","(783.4, 799.5, 216)","(799.5, 815.6, 356)","(815.6, 831.7, 808)","(831.7, 847.8, 588)","(847.8, 863.9, 134)","(863.9, 880.0, 76)","(815.6, 831.7, 808)"
THERMAX,"(1073.0, 1087.7, 67)","(1087.7, 1102.4, 81)","(1102.4, 1117.1, 187)","(1117.1, 1131.8, 879)","(1131.8, 1146.5, 823)","(1146.5, 1161.2, 531)","(1161.2, 1175.9, 539)","(1175.9, 1190.6, 241)","(1190.6, 1205.3, 82)","(1205.3, 1220.0, 6)","(1117.1, 1131.8, 879)"
